,Unnamed: 0,title,description,url,date,text,label
0,0,What exactly is a spot bitcoin ETF?,"As many investors patiently await approval for a spot bitcoin ETF (BTC-USD) , some may still be wondering what exactly they're waiting for. Yahoo Finance Anchor Brad Smith has them covered as he explains exactly the spot bitcoin ETF is and how investors can capitalize on the opportunity. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino",https://finance.yahoo.com/video/exactly-spot-bitcoin-etf-172955551.html?.tsrc=rss,2024-01-10,"What exactly is a spot bitcoin ETF?As many investors patiently await approval for a spot bitcoin ETF (BTC-USD) , some may still be wondering what exactly they're waiting for. Yahoo Finance Anchor Brad Smith has them covered as he explains exactly the spot bitcoin ETF is and how investors can capitalize on the opportunity. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino",0
1,1,Bitcoin mining CEO calls ETF 'great entry point' for crypto,"After a false report on Tuesday, crypto bulls and investment firms await the Securities and Exchange Commission's (SEC) ultimate decision on Wednesday over whether to approve issuances of a spot bitcoin ETF. Crypto companies, such as low-emission bitcoin miner CleanSpark (CLSK), are excited about the accessibility aspects a bitcoin ETF could offer for retail investors and institutional firms. CleanSpark CEO Zach Bradford joins Yahoo Finance Live to discuss the entryway into crypto a bitcoin ETF would provide, and crypto events that offer more opportunities for bitcoin miners. ""There's a lot of institutional capital that's been sidelined due to the risks around it,"" Bradford says. ""And the ETFs have now put up a system where they're going to hold it, they're going to manage some of those immediate risks around holding and custody of the bitcoin themselves."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Luke Carberry Mogan.",https://finance.yahoo.com/video/bitcoin-mining-ceo-calls-etf-170627495.html?.tsrc=rss,2024-01-10,"Bitcoin mining CEO calls ETF 'great entry point' for cryptoAfter a false report on Tuesday, crypto bulls and investment firms await the Securities and Exchange Commission's (SEC) ultimate decision on Wednesday over whether to approve issuances of a spot bitcoin ETF. Crypto companies, such as low-emission bitcoin miner CleanSpark (CLSK), are excited about the accessibility aspects a bitcoin ETF could offer for retail investors and institutional firms. CleanSpark CEO Zach Bradford joins Yahoo Finance Live to discuss the entryway into crypto a bitcoin ETF would provide, and crypto events that offer more opportunities for bitcoin miners. ""There's a lot of institutional capital that's been sidelined due to the risks around it,"" Bradford says. ""And the ETFs have now put up a system where they're going to hold it, they're going to manage some of those immediate risks around holding and custody of the bitcoin themselves."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Luke Carberry Mogan.",0
2,2,X Says SEC Didn’t Have 2-Factor Authentication Enabled at Time of Breach,The SEC said it would work with law enforcement and government partners to investigate the matter and determine appropriate next steps.,https://finance.yahoo.com/m/260c8ebc-4633-3353-8abe-124b080ce8fb/x-says-sec-didn%E2%80%99t-have.html?.tsrc=rss,2024-01-10,X Says SEC Didn’t Have 2-Factor Authentication Enabled at Time of BreachThe SEC said it would work with law enforcement and government partners to investigate the matter and determine appropriate next steps.,0
3,3,It’s Deadline Day for an SEC Decision on Spot Bitcoin ETFs. Here’s What to Watch.,"The Securities and Exchange Commission faces a final deadline Wednesday to rule on at least one of 11 applications for exchange-traded funds that hold bitcoin.  The decision is long awaited by cryptocurrency watchers—and the prospect that some or all of the applications will be approved has lately been seen as bullish for bitcoin.  There was some [drama late Tuesday](https://www.wsj.com/finance/currencies/sec-chair-denies-bitcoin-etf-has-been-approved-9a326e87): A message on social media said the SEC had approved the funds, before the agency quickly disavowed the post and said its account had been ""compromised.""",https://finance.yahoo.com/m/4b14ab9a-9a94-3945-852e-20058130f39c/it%E2%80%99s-deadline-day-for-an-sec.html?.tsrc=rss,2024-01-10,"It’s Deadline Day for an SEC Decision on Spot Bitcoin ETFs. Here’s What to Watch.The Securities and Exchange Commission faces a final deadline Wednesday to rule on at least one of 11 applications for exchange-traded funds that hold bitcoin.  The decision is long awaited by cryptocurrency watchers—and the prospect that some or all of the applications will be approved has lately been seen as bullish for bitcoin.  There was some [drama late Tuesday](https://www.wsj.com/finance/currencies/sec-chair-denies-bitcoin-etf-has-been-approved-9a326e87): A message on social media said the SEC had approved the funds, before the agency quickly disavowed the post and said its account had been ""compromised.""",1
4,4,SEC hack won't halt bitcoin ETF approvals: money managers,Some money managers expect to get the green light as early as Wednesday to launch spot bitcoin ETFs despite the chaos triggered Tuesday by a fake SEC social-media post,https://finance.yahoo.com/news/sec-hack-wont-halt-bitcoin-etf-approvals-money-managers-165408395.html?.tsrc=rss,2024-01-10,SEC hack won't halt bitcoin ETF approvals: money managersSome money managers expect to get the green light as early as Wednesday to launch spot bitcoin ETFs despite the chaos triggered Tuesday by a fake SEC social-media post,1
5,5,Bitcoin Edges Lower Ahead of SEC Decision,"Bitcoin traded around $45,000 on Wednesday ahead of an expected decision from the Securities and Exchange Commission to approve or reject the listing of exchange-traded funds holding the cryptocurrency.  + On Tuesday, bitcoin spiked to near $48,000 after the SEC's official X account incorrectly posted that it had approved bitcoin ETFs, a message the agency [quickly disavowed](https://www.wsj.com/finance/currencies/sec-chair-denies-bitcoin-etf-has-been-approved-9a326e87?mod=hp_lead_pos4) and said was unauthorized.  + Bitcoin, the leading cryptocurrency, was down nearly 4% over the last 24 hours, according to CoinDesk.",https://finance.yahoo.com/m/5a9ee1c0-d1b4-3508-843a-abcf5204c51e/bitcoin-edges-lower-ahead-of.html?.tsrc=rss,2024-01-10,"Bitcoin Edges Lower Ahead of SEC DecisionBitcoin traded around $45,000 on Wednesday ahead of an expected decision from the Securities and Exchange Commission to approve or reject the listing of exchange-traded funds holding the cryptocurrency.  + On Tuesday, bitcoin spiked to near $48,000 after the SEC's official X account incorrectly posted that it had approved bitcoin ETFs, a message the agency [quickly disavowed](https://www.wsj.com/finance/currencies/sec-chair-denies-bitcoin-etf-has-been-approved-9a326e87?mod=hp_lead_pos4) and said was unauthorized.  + Bitcoin, the leading cryptocurrency, was down nearly 4% over the last 24 hours, according to CoinDesk.",1
6,6,"Bitcoin could soar to $500,000 in the next 5 years as demand booms from ETFs, Fundstrat's Tom Lee says","""There's a finite supply and now we have a potentially huge increase in demand with a spot bitcoin [ETF] approval,"" Fundstrat's Tom Lee said.",https://markets.businessinsider.com/news/currencies/bitcoin-price-outlook-crypto-500000-price-target-etf-demand-boom-2024-1?.tsrc=rss,2024-01-10,"Bitcoin could soar to $500,000 in the next 5 years as demand booms from ETFs, Fundstrat's Tom Lee says""There's a finite supply and now we have a potentially huge increase in demand with a spot bitcoin [ETF] approval,"" Fundstrat's Tom Lee said.",0
7,7,Spot bitcoin ETF: Why people may not be rushing in to buy,"Scores of Wall Street investors are patiently waiting to hear from the Securities and Exchange Commission on a spot bitcoin ETF approval (BTC-USD) , especially after the SEC's X.com account was compromised Tuesday afternoon, releasing a false statement about the pending decision. With so much attention on this topic, have the floodgates been open for bitcoin? Will investment in the cryptocurrency boom or will the buzz pass on by? Steve McClurg, Valkyrie Funds Chief Investment Officer, joins Yahoo Finance to give insight into the compromised SEC account, the decision from the SEC, and what it could mean for bitcoin going forward. McClurg explains how this could be a dam-breaking moment: ""We launched a bitcoin futures ETF two years ago and we saw kind of a dam break at that point in time, where about a billion and a half dollars went into bitcoin ETFs, or bitcoin futures ETFs, for a period of about three days...I don't think it's going to be a dam-breaking moment like it was then, I think this is going to be a lot slower, will will probably see about $10 to $25 billion over the course of a year or two."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino",https://finance.yahoo.com/video/spot-bitcoin-etf-why-people-150846406.html?.tsrc=rss,2024-01-10,"Spot bitcoin ETF: Why people may not be rushing in to buyScores of Wall Street investors are patiently waiting to hear from the Securities and Exchange Commission on a spot bitcoin ETF approval (BTC-USD) , especially after the SEC's X.com account was compromised Tuesday afternoon, releasing a false statement about the pending decision. With so much attention on this topic, have the floodgates been open for bitcoin? Will investment in the cryptocurrency boom or will the buzz pass on by? Steve McClurg, Valkyrie Funds Chief Investment Officer, joins Yahoo Finance to give insight into the compromised SEC account, the decision from the SEC, and what it could mean for bitcoin going forward. McClurg explains how this could be a dam-breaking moment: ""We launched a bitcoin futures ETF two years ago and we saw kind of a dam break at that point in time, where about a billion and a half dollars went into bitcoin ETFs, or bitcoin futures ETFs, for a period of about three days...I don't think it's going to be a dam-breaking moment like it was then, I think this is going to be a lot slower, will will probably see about $10 to $25 billion over the course of a year or two."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino",1
8,8,"Bitcoin ETF Chaos Memorialized on Blockchain, With Nod to 'Chancellor on the Brink' Reference","Jokester pays $2.97 to record the one-liner ""SEC Chairman on the brink of second ETF approval"" on the blockchain.",https://finance.yahoo.com/news/bitcoin-etf-chaos-memorialized-blockchain-144802593.html?.tsrc=rss,2024-01-10,"Bitcoin ETF Chaos Memorialized on Blockchain, With Nod to 'Chancellor on the Brink' ReferenceJokester pays $2.97 to record the one-liner ""SEC Chairman on the brink of second ETF approval"" on the blockchain.",1
9,9,Crypto investors await today's SEC decision on bitcoin ETFs,"On Tuesday, the Securities and Exchange Commission's (SEC) X account was reportedly compromised as it issued a false report of approving a spot bitcoin ETF. Wednesday, January 10 (today) is the deadline date for the SEC's decision on bitcoin ETFs. Bitcoin (BTC-USD) hovers just above $45,000 Wednesday morning. Yahoo Finance's Julie Hyman joins the Live show to comment on the situation and weigh the benefits and risks tied to pending bitcoin ETFs, including crypto volatility and ETF fees. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Luke Carberry Mogan.",https://finance.yahoo.com/video/crypto-investors-await-todays-sec-143437728.html?.tsrc=rss,2024-01-10,"Crypto investors await today's SEC decision on bitcoin ETFsOn Tuesday, the Securities and Exchange Commission's (SEC) X account was reportedly compromised as it issued a false report of approving a spot bitcoin ETF. Wednesday, January 10 (today) is the deadline date for the SEC's decision on bitcoin ETFs. Bitcoin (BTC-USD) hovers just above $45,000 Wednesday morning. Yahoo Finance's Julie Hyman joins the Live show to comment on the situation and weigh the benefits and risks tied to pending bitcoin ETFs, including crypto volatility and ETF fees. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Luke Carberry Mogan.",1
