,date,text
0,2024-01-10,SEC’s X Account Breach Highlights Lack of Security at AgencyThe SEC said it would work with law enforcement and government partners to investigate the matter and determine appropriate next steps.
1,2024-01-10,"Bitcoin ETF: How investors can navigate possible offeringsInvestors are waiting for any news of approval for a spot bitcoin ETF (BTC-USD) by the US Securities and Exchange Commission (SEC). But, if a positive decision does come through, the options as to where to invest may be overwhelming. Bloomberg Intelligence ETF Research Analyst James Seyffart joins Yahoo Finance to give helpful insight for investors into where and how to navigate investing in bitcoin ETFs as investment firms prep to roll out offerings as soon as possible, including BlackRock (BLK) and Grayscale's Bitcoin Trust (GBTC). ""Risk-wise, it's any risk you would think of investing in bitcoin itself. If you don't feel comfortable holding bitcoin itself, you probably shouldn't consider holding these things just because it's a very volatile asset,"" Seyffart advises. ""But, here is undisputed fact in that bitcoin added to a diversified portfolio, of 60/40, whether it's a 2% allocation, 5% allocation, it has drastically improved the performance and the sharp ratios of those portfolios."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino."
2,2024-01-10,"It’s Deadline Day for an SEC Decision on Spot Bitcoin ETFs. Here’s What to Watch.The Securities and Exchange Commission faces a final deadline Wednesday to rule on at least one of 11 applications for exchange-traded funds that hold bitcoin.  The decision is long awaited by cryptocurrency watchers—and the prospect that some or all of the applications will be approved has lately been seen as bullish for bitcoin.  There was some [drama late Tuesday](https://www.wsj.com/finance/currencies/sec-chair-denies-bitcoin-etf-has-been-approved-9a326e87): A message on social media said the SEC had approved the funds, before the agency quickly disavowed the post and said its account had been ""compromised."""
3,2024-01-10,"What exactly is a spot bitcoin ETF?As many investors patiently await approval for a spot bitcoin ETF (BTC-USD) , some may still be wondering what exactly they're waiting for. Yahoo Finance Anchor Brad Smith has them covered as he explains exactly the spot bitcoin ETF is and how investors can capitalize on the opportunity. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino"
4,2024-01-10,"Bitcoin mining CEO calls ETF 'great entry point' for cryptoAfter a false report on Tuesday, crypto bulls and investment firms await the Securities and Exchange Commission's (SEC) ultimate decision on Wednesday over whether to approve issuances of a spot bitcoin ETF. Crypto companies, such as low-emission bitcoin miner CleanSpark (CLSK), are excited about the accessibility aspects a bitcoin ETF could offer for retail investors and institutional firms. CleanSpark CEO Zach Bradford joins Yahoo Finance Live to discuss the entryway into crypto a bitcoin ETF would provide, and crypto events that offer more opportunities for bitcoin miners. ""There's a lot of institutional capital that's been sidelined due to the risks around it,"" Bradford says. ""And the ETFs have now put up a system where they're going to hold it, they're going to manage some of those immediate risks around holding and custody of the bitcoin themselves."" For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Luke Carberry Mogan."
5,2024-01-10,SEC hack won't halt bitcoin ETF approvals: money managersSome money managers expect to get the green light as early as Wednesday to launch spot bitcoin ETFs despite the chaos triggered Tuesday by a fake SEC social-media post
6,2024-01-10,"Bitcoin Edges Lower Ahead of SEC DecisionBitcoin traded around $45,000 on Wednesday ahead of an expected decision from the Securities and Exchange Commission to approve or reject the listing of exchange-traded funds holding the cryptocurrency.  + On Tuesday, bitcoin spiked to near $48,000 after the SEC's official X account incorrectly posted that it had approved bitcoin ETFs, a message the agency [quickly disavowed](https://www.wsj.com/finance/currencies/sec-chair-denies-bitcoin-etf-has-been-approved-9a326e87?mod=hp_lead_pos4) and said was unauthorized.  + Bitcoin, the leading cryptocurrency, was down nearly 4% over the last 24 hours, according to CoinDesk."
7,2024-01-10,"Bitcoin could soar to $500,000 in the next 5 years as demand booms from ETFs, Fundstrat's Tom Lee says""There's a finite supply and now we have a potentially huge increase in demand with a spot bitcoin [ETF] approval,"" Fundstrat's Tom Lee said."
8,2024-01-10,"Spot bitcoin ETF: Why people may not be rushing in to buyThe SEC's highly anticipated decision on whether to approve a spot bitcoin ETF will not be a dam-breaking moment for crypto, Valkyrie Funds CIO Steve McClurg told Yahoo Finance Live. ""We launched a bitcoin futures ETF two years ago and we saw a dam break at that point in time, where about $1.5 billion flowed into bitcoin ETFs, or bitcoin futures ETFs,"" McClurg explained. ""I don't think it's going to be a dam-breaking moment like it was then. This is going to be a lot slower... we will probably see about $10 to $25 billion over the course of a year or two."" Valkyrie Investments — one of the prospective issuers of a spot bitcoin ETF — waived its fees for 3 months, in an effort to make its product more attractive to investors. The price of bitcoin has soared in anticipation of an approval from the SEC, climbing more than 50% in the last six months to over $46,000 on Wednesday. For more expert insight and the latest market action, click here to watch this full episode of Yahoo Finance Live. Editor's note: This article was written by Nicholas Jacobino"
9,2024-01-10,"Bitcoin ETF Chaos Memorialized on Blockchain, With Nod to 'Chancellor on the Brink' ReferenceJokester pays $2.97 to record the one-liner ""SEC Chairman on the brink of second ETF approval"" on the blockchain."
